,Time [s],x,x_dot,y,y_dot,psi,psi_dot,X,Y,S,a_f,a_r,d_f,d_r,beta_f,beta_r,beta,alpha_f,alpha_r,v
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01001001001001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920146939312061,5.251464081006664e-07,0.0,0.0,0.0,0.0,5.251464081006664e-07,0.0,0.0
2,0.02002002002002002,1.656694226806677e-07,3.309936007627066e-05,-2.3374755693316535e-08,-4.667726377622005e-06,6.43921773508719e-05,-0.0052791400648277715,1.656694195711299e-07,-2.337476303169599e-08,1.7041993411938917e-07,0.0,3.9284381970154123,4.200539863778434e-06,0.0,-1.5617187397339312,1.5634102677713804,-0.1400560489637092,1.5617229402737949,-1.5634102677713804,3.3426865048864044e-05
3,0.03003003003003003,1.1530454707641152e-06,0.0001641777564292555,-7.046761229906468e-08,-4.7181069213210354e-06,0.00019244678397036089,-0.005338444735985989,1.1530471622992618e-06,-7.049574430901866e-08,1.1592068970950987e-06,0.0,8.750583616584743,1.4173271026279498e-05,0.0,-1.5263091985414603,1.5345912833536652,-0.02872814022048572,1.5263233718124867,-1.5345912833536652,0.00016424553643574295
4,0.04004004004004004,4.257813704858945e-06,0.0004561551678512353,-1.1959389233942734e-07,-4.940171245099165e-06,0.0003163729794320977,-0.005694539941517922,4.257823196209341e-06,-1.192582511785893e-07,4.264399086611519e-06,0.0,15.400748015600813,3.3584120656048624e-05,0.0,-1.455362342976226,1.4767364071487805,-0.010829362853737392,1.455395927096882,-1.4767364071487805,0.0004561819181525278
5,0.050050050050050046,1.139585213049462e-05,0.0009700265404149577,-1.7389854499033054e-07,-5.4800491920486025e-06,0.00042974032365661037,-0.006635483739435797,1.1395876269154926e-05,-1.717975364619466e-07,1.140265673283608e-05,0.0,23.822202417415014,6.55644118573775e-05,0.0,-1.3622576333356884,1.4003127912774345,-0.005649262338628735,1.3623231977475458,-1.4003127912774345,0.0009700420197334541
6,0.06006006006006006,2.5084124560470868e-05,0.0017648940651770542,-2.370141951465701e-07,-6.363995431133002e-06,0.0005249381129195619,-0.008233199303981297,2.508417136835873e-05,-2.2999560429306303e-07,2.509108529444764e-05,0.0,33.95918183474661,0.0001132328709442369,0.0,-1.2698939324714227,1.3235386381022378,-0.0036058434987436255,1.270007165342367,-1.3235386381022378,0.0017649055390402727
7,0.07007007007007007,4.842189518724465e-05,0.002897999284923087,-3.112720865965483e-07,-7.4213241566241705e-06,0.0005965764280273976,-0.010191275523272468,4.842197311431355e-05,-2.9378620226042e-07,4.842898503092906e-05,0.0,45.7568753241227,0.00017969249979157506,0.0,-1.1802582491324118,1.2476992633647783,-0.0025608295917432375,1.1804379416322035,-1.2476992633647783,0.002898008787334324
8,0.08008008008008008,8.507226191691905e-05,0.004424754724046328,-3.9663634760458503e-07,-8.361439577147296e-06,0.000643319652117086,-0.011994756837998347,8.507237787281225e-05,-3.603509652703901e-07,8.507946279407734e-05,0.0,59.161416067193066,0.000268027462523994,0.0,-1.0802532799070446,1.1610359904925807,-0.001889689089911138,1.0805213073695685,-1.1610359904925807,0.004424762624327105
9,0.09009009009009009,0.0001392440049267211,0.006398775116695864,-4.901422230678681e-07,-8.844015182651972e-06,0.000668864837328867,-0.012985531260179305,0.00013924416181392886,-4.238095357544787e-07,0.0001392512995147238,0.0,74.11987147999966,0.0003812999893807786,0.0,-0.9511040190980906,1.0450736110604002,-0.0013821388575743305,0.9514853190874714,-1.0450736110604002,0.006398781228534909
10,0.10010010010010009,0.00021567374699583454,0.008871908302687049,-5.86221215797774e-07,-8.653473093346443e-06,0.0006828008167418751,-0.012394084735161442,0.00021567394201908507,-4.754480323626745e-07,0.00021568111725381553,0.0,90.58023335156635,0.0005225473005807095,0.0,-0.7675399423685869,0.8704783931868205,-0.0009753775963572946,0.7680624896691676,-0.8704783931868205,0.008871912522894033
11,0.11011011011011011,0.00031960842640527793,0.011894266452847663,-6.808148629464006e-07,-8.31737246625902e-06,0.0006990510598360332,-0.009717579938067534,0.0003196086529326277,-5.069300030625342e-07,0.00031961585629900987,0.0,108.49140801290906,0.0006947785529921072,0.0,-0.5138518818061669,0.606517375867582,-0.0006992750793660078,0.5145466603591591,-0.606517375867582,0.011894269360915873
12,0.12012012012012012,0.00045678809822139593,0.015514259936641964,-7.821671413036516e-07,-9.744295640668693e-06,0.0007234994211765207,-0.006315878166005718,0.0004567883553348375,-5.19451873808085e-07,0.000456795578563366,0.0,127.8032065376568,0.0009009718123928856,0.0,-0.2744249850962833,0.33257806164165504,-0.0006280859105271881,0.27532595690867623,-0.33257806164165504,0.015514262996771437
13,0.13013013013013014,0.0006334290665364771,0.019778628590357165,-9.016338741441692e-07,-1.1197485745043995e-05,0.0007335867558664268,-0.005097341283312499,0.0006334293617041438,-5.159476119430577e-07,0.0006334365919361139,0.0,148.46633497545304,0.0011440710540823289,0.0,-0.17653555858310074,0.21511476434293683,-0.0005661403082709473,0.17767962963718306,-0.21511476434293683,0.019778631760032868
14,0.14014014014014015,0.0008562071914328093,0.02473245471053638,-1.0273630057841685e-06,-1.18788409543877e-05,0.0007271044032756678,-0.0026959710784393224,0.0008562075189963532,-4.824723695072966e-07,0.0008562147530160327,0.0,170.43238461917738,0.0014269831945807197,0.0,-0.07554991795980054,0.0919145399897176,-0.0004802934191963699,0.07697690115438126,-0.0919145399897176,0.024732457563202158
