,Time [s],x,x_dot,y,y_dot,psi,psi_dot,X,Y,S,a_f,a_r,d_f,d_r,beta_f,beta_r,beta,alpha_f,alpha_r,v
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01001001001001001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920146939312061,5.251464081006664e-07,0.0,0.0,0.0,0.0,5.251464081006664e-07,0.0,0.0
2,0.02002002002002002,1.656669505558347e-07,3.3100256721056975e-05,0.0,8.03864290026173e-11,1.503589274934987e-14,1.260426689974286e-08,1.656669505558347e-07,8.831976559386507e-17,1.656669505558347e-07,0.0,3.9284381970154123,4.200539863778434e-06,0.0,8.777330589825189e-08,-1.0633240435778812e-07,8.038642900261803e-10,4.112766557880182e-06,1.0633240435778812e-07,3.3100256721056975e-05
3,0.03003003003003003,1.1530519973982252e-06,0.00016417927563812544,0.0,7.2547480058782e-10,7.640906998530084e-13,1.0817371693880078e-07,1.1530519973982252e-06,4.752524816408208e-15,1.1530519973982252e-06,0.0,8.750583616584743,1.4173271026279498e-05,0.0,7.536533948836034e-07,-9.122218459739284e-07,7.254748005878124e-09,1.3419617631395895e-05,9.122218459739284e-07,0.00016417927563812544
4,0.04004004004004004,4.2578400349397766e-06,0.00045615737426343535,0.0,2.9129000528084975e-09,9.880026084727619e-12,4.0330142801164904e-07,4.257840034939776e-06,6.638940625778307e-14,4.2578400349397766e-06,0.0,15.400748015600813,3.3584120656048624e-05,0.0,2.811908853808463e-06,-3.398933137570932e-06,2.9129000528085042e-08,3.0772211802240164e-05,3.398933137570932e-06,0.00045615737426343535
5,0.050050050050050046,1.1395912545981288e-05,0.0009700295134465506,0.0,8.119736262054929e-09,6.64160015779464e-11,1.0414170605944995e-06,1.1395912545981275e-05,4.818064665849008e-13,1.1395912545981288e-05,0.0,23.822202417415014,6.55644118573775e-05,0.0,7.266975080722596e-06,-8.770847652432695e-06,8.119736262055044e-08,5.829743677665491e-05,8.770847652432695e-06,0.0009700295134465506
6,0.06006006006006006,2.5084237413571227e-05,0.0017648977951115073,0.0,1.8324524560692084e-08,3.02143975453078e-10,2.181400973105121e-06,2.5084237413571078e-05,2.358655553142744e-12,2.5084237413571227e-05,0.0,33.95918183474661,0.0001132328709442369,0.0,1.5234911960032254e-05,-1.8358663025786607e-05,1.8324524560692358e-07,9.799795898420465e-05,1.8358663025786607e-05,0.0017648977951115073
7,0.07007007007007007,4.8422082370006e-05,0.0028980036272214516,0.0,3.600670604347577e-08,1.0599004757713891e-09,3.990869228860872e-06,4.8422082370004905e-05,8.872611324365111e-12,4.8422082370006e-05,0.0,45.7568753241227,0.00017969249979157506,0.0,2.789706473957477e-05,-3.356232138488265e-05,3.600670604347605e-07,0.0001517954350520003,3.356232138488265e-05,0.0028980036272214516
8,0.08008008008008008,8.507254875608368e-05,0.00442475955680368,0.0,6.41443341331967e-08,3.088948547324715e-09,6.642182599170859e-06,8.507254875607766e-05,2.7638503161885326e-11,8.507254875608368e-05,0.0,59.161416067193066,0.000268027462523994,0.0,4.647250327561089e-05,-5.581710875162033e-05,6.41443341331975e-07,0.0002215549592483831,5.581710875162033e-05,0.00442475955680368
9,0.09009009009009009,0.00013924442227230082,0.00639878077191585,0.0,1.0621057817306634e-07,7.83625320395462e-09,1.0310044333250071e-05,0.00013924442227227396,7.472310461866961e-11,0.00013924442227230082,0.0,74.11987147999966,0.0003812999893807786,0.0,7.220141168115615e-05,-8.657327105089493e-05,1.062105781730676e-06,0.00030909857769962246,8.657327105089493e-05,0.00639878077191585
10,0.10010010010010009,0.00021567433741268238,0.008871916273470842,0.0,1.6616931869672764e-07,1.785122862424378e-08,1.517002477424167e-05,0.00021567433741258052,1.8093893617294028e-10,0.00021567433741268238,0.0,90.58023335156635,0.0005225473005807095,0.0,0.00010633486412923478,-0.0001272835173940869,1.661693186967289e-06,0.0004162124364514747,0.0001272835173940869,0.008871916273470842
